Year,area,n
2013,上海,598
2013,云南,951
2013,内蒙古,153
2013,北京,1330
2013,吉林,380
2013,四川,875
2013,天津,180
2013,宁夏,134
2013,安徽,1051
2013,山东,1970
2013,山西,407
2013,广东,3604
2013,广西,83
2013,新疆,206
2013,暂无,4
2013,江苏,1845
2013,江西,938
2013,河北,514
2013,河南,173
2013,浙江,1574
2013,海南,151
2013,湖北,139
2013,湖南,438
2013,甘肃,381
2013,福建,2410
2013,西藏,10
2013,贵州,206
2013,辽宁,1018
2013,重庆,1289
2013,陕西,273
2013,青海,25
2013,黑龙江,69
2014,上海,5133
2014,云南,4962
2014,内蒙古,1367
2014,北京,29672
2014,吉林,960
2014,四川,4822
2014,天津,1424
2014,宁夏,2776
2014,安徽,7264
2014,山东,51968
2014,山西,2420
2014,广东,18679
2014,广西,15921
2014,新疆,1359
2014,暂无,2
2014,江苏,26911
2014,江西,20091
2014,河北,4840
2014,河南,10664
2014,浙江,278473
2014,海南,1154
2014,湖北,3927
2014,湖南,4772
2014,甘肃,1290
2014,福建,112592
2014,西藏,13
2014,贵州,3020
2014,辽宁,6220
2014,重庆,16682
2014,陕西,2034
2014,青海,352
2014,黑龙江,5182
2015,上海,35266
2015,云南,14881
2015,内蒙古,22826
2015,北京,43179
2015,吉林,7973
2015,四川,39445
2015,天津,6814
2015,宁夏,9394
2015,安徽,53783
2015,山东,219105
2015,山西,13759
2015,广东,87227
2015,广西,35823
2015,新疆,15267
2015,江苏,301499
2015,江西,47901
2015,河北,19564
2015,河南,115898
2015,浙江,214323
2015,海南,2823
2015,湖北,70863
2015,湖南,54360
2015,甘肃,6581
2015,福建,194783
2015,西藏,84
2015,贵州,16818
2015,辽宁,25789
2015,重庆,63689
2015,陕西,11607
2015,青海,3001
2015,黑龙江,11624
2016,上海,36549
2016,云南,19767
2016,内蒙古,35149
2016,北京,45659
2016,吉林,34246
2016,四川,79561
2016,天津,29302
2016,宁夏,16297
2016,安徽,126505
2016,山东,264681
2016,山西,35949
2016,广东,124775
2016,广西,41795
2016,新疆,31874
2016,暂无,17
2016,江苏,289549
2016,江西,82559
2016,河北,51338
2016,河南,284447
2016,浙江,227461
2016,海南,6369
2016,湖北,63682
2016,湖南,60401
2016,甘肃,12908
2016,福建,223899
2016,西藏,497
2016,贵州,27569
2016,辽宁,63812
2016,重庆,67811
2016,陕西,16913
2016,青海,2620
2016,黑龙江,122550
2017,上海,57039
2017,云南,55672
2017,兵团,2
2017,内蒙古,33983
2017,北京,60839
2017,吉林,33650
2017,四川,109220
2017,天津,31062
2017,宁夏,24879
2017,安徽,98243
2017,山东,244230
2017,山西,42707
2017,广东,216554
2017,广西,41472
2017,新疆,27933
2017,暂无,972
2017,江苏,286954
2017,江西,73664
2017,河北,63573
2017,河南,200794
2017,浙江,292544
2017,海南,9840
2017,湖北,80641
2017,湖南,47625
2017,甘肃,24971
2017,福建,155818
2017,西藏,612
2017,贵州,34773
2017,辽宁,55000
2017,重庆,85915
2017,陕西,25435
2017,青海,3354
2017,黑龙江,69286
2018,上海,51418
2018,云南,44080
2018,内蒙古,22992
2018,北京,52201
2018,吉林,16342
2018,四川,83280
2018,天津,24492
2018,宁夏,23844
2018,安徽,107803
2018,山东,117710
2018,山西,38887
2018,广东,247949
2018,广西,35548
2018,新疆,25279
2018,暂无,68
2018,江苏,245263
2018,江西,57377
2018,河北,97084
2018,河南,188993
2018,浙江,275000
2018,海南,5279
2018,湖北,71775
2018,湖南,36519
2018,甘肃,25315
2018,福建,143390
2018,西藏,818
2018,贵州,38410
2018,辽宁,70898
2018,重庆,55847
2018,陕西,18746
2018,青海,2065
2018,黑龙江,49610
